rank,team,solved,penalty,problems
115,spearhead-cycle-1565,200,32,11 1 try | score_cell || 32 1 try | score_cell || 1 try | score_cell || score_cell
116,old-envious-408,200,34,28 1 try | score_cell || 34 1 try | score_cell || 1 try | score_cell || 1 try | score_cell
117,antennae-magnitude-929,200,36,15 1 try | score_cell || 36 1 try | score_cell || 9 tries | score_cell || score_cell
118,circulate-float-753,200,39,12 1 try | score_cell || 39 1 try | score_cell || score_cell || score_cell
119,corny-depose-470,200,42,5 1 try | score_cell || 42 1 try | score_cell || score_cell || score_cell
120,capital-unknown-657,200,44,21 1 try | score_cell || 44 1 try | score_cell || score_cell || score_cell
121,sensitive-corncob-930,200,46,16 1 try | score_cell || 46 1 try | score_cell || score_cell || score_cell
122,repost-tantrum-750,200,47,44 1 try | score_cell || 47 1 try | score_cell || 1 try | score_cell || 2 tries | score_cell
123,goofball-customs-1224,200,48,19 1 try | score_cell || 45 2 tries | score_cell || score_cell || score_cell
124,virtuous-lilac-1051,200,50,43 1 try | score_cell || 50 1 try | score_cell || 1 try | score_cell || score_cell
125,sudden-affirm-1597,200,53,27 1 try | score_cell || 53 1 try | score_cell || score_cell || score_cell
126,aluminum-facelift-152,200,56,21 1 try | score_cell || 53 2 tries | score_cell || score_cell || score_cell
127,even-riot-886,200,60,26 1 try | score_cell || 54 3 tries | score_cell || score_cell || score_cell
128,playgroup-irritant-697,200,64,55 4 tries | score_cell || 53 1 try | score_cell || 2 tries | score_cell || score_cell
129,preseason-maroon-703,200,64,score_cell || score_cell || 61 2 tries | score_cell || score_cell
130,coleslaw-chatting-822,200,64,16 1 try | score_cell || 64 1 try | score_cell || 1 try | score_cell || score_cell
131,chaffing-backpedal-1013,200,67,15 1 try | score_cell || 67 1 try | score_cell || 1 try | score_cell || score_cell
132,overeager-unpaired-648,200,69,49 4 tries | score_cell || 60 1 try | score_cell || score_cell || score_cell
133,saved-diffusive-1154,200,71,40 1 try | score_cell || 71 1 try | score_cell || score_cell || score_cell
134,refueling-blinker-1550,200,76,30 1 try | score_cell || 70 3 tries | score_cell || 3 tries | score_cell || score_cell
135,woozy-lifter-1018,200,83,44 1 try | score_cell || 83 1 try | score_cell || score_cell || score_cell
136,rename-angler-1386,200,85,64 2 tries | score_cell || 82 1 try | score_cell || score_cell || score_cell
137,rectangle-studio-379,200,86,61 1 try | score_cell || 86 1 try | score_cell || score_cell || score_cell
138,plunder-resurface-396,200,103,36 1 try | score_cell || 103 1 try | score_cell || score_cell || score_cell
139,entangled-release-142,200,114,58 1 try | score_cell || 114 1 try | score_cell || 1 try | score_cell || score_cell
140,chest-handling-135,200,119,103 1 try | score_cell || 119 1 try | score_cell || score_cell || score_cell
141,unturned-issue-1556,200,124,105 1 try | score_cell || 124 1 try | score_cell || score_cell || score_cell
142,unnamed-drippy-1628,200,129,122 1 try | score_cell || 126 2 tries | score_cell || score_cell || score_cell
143,series-subarctic-744,200,150,132 1 try | score_cell || 150 1 try | score_cell || 4 tries | score_cell || score_cell
144,freight-lazy-828,200,152,134 1 try | score_cell || 152 1 try | score_cell || 1 try | score_cell || score_cell
145,evasion-rematch-1145,200,155,148 1 try | score_cell || 155 1 try | score_cell || score_cell || score_cell
146,quadrant-retrace-761,200,174,162 1 try | score_cell || 174 1 try | score_cell || score_cell || score_cell
147,usage-mute-866,200,183,29 1 try | score_cell || 180 2 tries | score_cell || 5 tries | score_cell || score_cell
148,spearman-landslide-1589,200,183,175 1 try | score_cell || 183 1 try | score_cell || score_cell || score_cell
149,fetch-opposite-330,200,224,221 1 try | score_cell || 224 1 try | score_cell || 1 try | score_cell || 1 try | score_cell
150,bolster-certainly-335,200,259,256 2 tries | score_cell || 24 1 try | score_cell || score_cell || score_cell
151,movable-cogwheel-1593,200,308,score_cell || score_cell || 302 3 tries | score_cell || score_cell
152,pregnancy-margarita-564,200,322,312 1 try | score_cell || 322 1 try | score_cell || 1 try | score_cell || score_cell
153,engine-rust-524,200,323,278 2 tries | score_cell || 320 1 try | score_cell || 4 tries | score_cell || score_cell
154,creed-nearness-1238,200,438,344 1 try | score_cell || 438 1 try | score_cell || score_cell || score_cell
155,recycling-computing-961,200,691,674 1 try | score_cell || 691 1 try | score_cell || score_cell || score_cell
156,pretzel-matrimony-1455,200,787,778 1 try | score_cell || 787 1 try | score_cell || score_cell || score_cell
157,trance-catalyze-165,200,789,761 3 tries | score_cell || 780 2 tries | score_cell || 2 tries | score_cell || score_cell
158,retype-clock-261,200,857,827 1 try | score_cell || 857 1 try | score_cell || score_cell || score_cell
159,filler-sandbar-1219,200,876,839 3 tries | score_cell || 870 1 try | score_cell || score_cell || score_cell
160,tattling-moonwalk-1183,200,881,855 1 try | score_cell || 881 1 try | score_cell || score_cell || score_cell
161,untrained-spherical-243,200,908,104 3 tries | score_cell || 902 1 try | score_cell || score_cell || score_cell
162,dislocate-perjury-1477,200,910,904 2 tries | score_cell || 907 1 try | score_cell || 1 try | score_cell || score_cell
163,disregard-giveaway-887,200,917,900 1 try | score_cell || 917 1 try | score_cell || score_cell || score_cell
164,pungent-resemble-639,200,918,908 1 try | score_cell || 915 2 tries | score_cell || 1 try | score_cell || score_cell
165,appendage-stoke-101,200,919,760 6 tries | score_cell || 895 4 tries | score_cell || 1 try | score_cell || score_cell
166,cursive-impale-794,150,130,score_cell || 127 2 tries | score_cell || score_cell || score_cell
167,portable-undress-1607,50,7,7 1 try | score_cell || score_cell || score_cell || score_cell
168,iphone-contact-596,50,10,10 1 try | score_cell || score_cell || score_cell || score_cell
169,shorty-impulse-429,50,14,14 1 try | score_cell || score_cell || score_cell || score_cell
,snowplow-effective-319,50,14,14 1 try | score_cell || score_cell || score_cell || score_cell
171,diligence-affected-584,50,15,15 1 try | score_cell || score_cell || score_cell || score_cell
,identical-catnip-861,50,15,15 1 try | score_cell || score_cell || score_cell || score_cell
173,impure-famished-1047,50,23,23 1 try | score_cell || score_cell || score_cell || score_cell
174,disposal-uncheck-1186,50,24,24 1 try | score_cell || score_cell || score_cell || score_cell
175,unrobed-reformer-917,50,25,22 2 tries | score_cell || score_cell || score_cell || score_cell
176,mangle-bulge-809,50,27,27 1 try | score_cell || score_cell || score_cell || score_cell
,sturdy-smock-1389,50,27,27 1 try | score_cell || score_cell || score_cell || score_cell
178,reason-ideally-1147,50,28,28 1 try | score_cell || score_cell || score_cell || score_cell
,thursday-wager-119,50,28,28 1 try | score_cell || score_cell || score_cell || score_cell
180,overshot-unwired-235,50,29,29 1 try | score_cell || score_cell || score_cell || score_cell
181,dodgy-rundown-741,50,30,30 1 try | score_cell || score_cell || score_cell || score_cell
,naming-antler-798,50,30,30 1 try | score_cell || score_cell || score_cell || score_cell
183,magnolia-cozily-457,50,33,33 1 try | score_cell || score_cell || score_cell || score_cell
184,imprint-spud-1049,50,34,34 1 try | score_cell || score_cell || score_cell || score_cell
